08_ZResidencia,08_AssCom_Cart,08_AssSem_Cart,08_FunPub,08_Auto,08_Empreg,08_ProfLib,08_DNegFam,08_TraFam,08_Total
458,18362,3052,0,7688,0,0,1873,0,30976
459,15647,1931,0,5452,0,0,619,149,23798
460,17613,708,4380,6795,0,0,0,0,29496
461,15375,1997,1683,4594,0,0,0,0,23650
462,27386,3062,2071,11338,0,0,736,0,44591
463,12918,1217,1139,10309,876,0,1178,0,27637
464,17119,3368,2900,10456,0,0,1341,0,35183
465,36423,3381,1015,5935,0,0,548,467,47769
466,12367,2296,1865,7334,215,0,831,0,24908
467,5436,946,124,2733,0,0,900,0,10139
468,34762,2409,3392,24745,462,698,3893,0,70360
469,1120,108,108,834,0,0,92,0,2262
470,2616,0,288,1172,0,0,387,0,4463
471,2879,260,540,2227,198,0,266,104,6473
472,6301,2310,555,6341,0,287,757,0,16551
473,4364,590,230,3523,267,0,267,0,9240
474,908,523,63,1298,0,0,63,0,2855
475,4606,1254,1121,3555,0,0,836,102,11474
476,25768,2654,2645,6598,0,0,889,0,38554
477,10024,1228,774,2380,2376,979,1036,0,18796
478,0,0,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0,0
480,9463,768,1864,4626,0,275,826,0,17821
481,14353,1454,1582,8996,0,416,1137,792,28729
482,3844,119,544,2417,0,136,0,0,7059
483,705,71,39,275,269,134,0,0,1494
484,33925,1896,2269,15160,0,0,1309,0,54559
485,25168,1582,4099,11130,960,0,1607,0,44545
486,12839,1711,2165,9715,0,0,1425,0,27856
487,9202,772,1000,4093,440,0,0,0,15507
488,8480,1431,343,6565,654,254,628,0,18355
489,1418,146,180,438,66,56,98,0,2402
490,3109,175,780,1072,87,240,346,0,5807
491,7367,1121,572,4545,1428,131,393,0,15557
492,12675,1319,872,4864,247,2144,1489,0,23612
493,7702,264,727,2978,143,0,115,0,11928
494,15451,755,1677,4849,390,1664,2830,0,27616
495,31233,2376,1166,10749,1174,0,4596,0,51294
496,15278,2386,1425,8786,571,571,2259,0,31275
497,3661,113,354,1359,186,19,122,0,5813
498,3139,390,327,301,186,0,501,0,4845
499,29933,2839,3525,14534,223,298,1931,127,53410
500,12941,1620,404,4682,831,0,1488,0,21966
501,12501,1346,469,5576,0,0,938,469,21300
502,5637,1198,363,2679,345,0,204,0,10426
503,1886,127,177,633,0,0,134,0,2956
504,26719,2023,3894,12763,0,0,6464,0,51863
505,1539,72,315,509,487,256,364,0,3541
506,10042,995,901,2656,252,564,1494,312,17217
507,5051,1258,414,1775,672,986,210,0,10367
508,36388,795,1718,17027,2342,362,1452,0,60083
509,693,299,0,962,0,0,323,135,2412
510,0,0,0,0,0,0,0,0,0
511,7431,1064,745,4753,309,0,1981,0,16283
512,13366,3032,918,6471,0,467,0,0,24254
513,686,11,109,534,17,56,186,11,1610
514,23868,0,1986,13943,0,301,557,0,40655
515,28661,3196,6280,9088,0,0,1787,0,49012
516,34704,1640,3666,11212,3765,3941,4135,0,63061
517,3222,321,1244,1963,0,121,533,0,7403
