05_ZResidencia,05_RF1,05_RF2,05_RF3,05_RF4,05_RF5,05_Total
176,6446,24306,13290,2786,0,46828
177,3848,5728,608,0,0,10184
178,0,0,0,0,0,0
179,0,0,0,0,0,0
180,10078,40365,18778,1772,116,71109
181,10809,20286,9158,5522,825,46600
182,4524,18736,17651,3584,2450,46946
183,5465,25253,11984,956,0,43659
184,6049,12425,5256,994,0,24724
185,14237,13233,1660,0,0,29129
186,1701,6806,2604,206,430,11747
187,15931,26346,5986,0,0,48263
188,13016,10573,5240,1067,1185,31082
189,8689,33462,4276,508,1790,48725
190,4093,17423,9990,1029,1212,33748
191,0,0,0,0,0,0
192,2831,21301,13566,748,507,38953
193,8701,7906,7018,2040,0,25665
194,9069,12930,3847,0,0,25845
195,14919,15147,3397,2422,1163,37047
196,5839,23855,5668,0,628,35990
197,5208,11759,5204,1639,314,24124
198,4765,17493,6127,434,666,29485
199,29921,44129,22457,1824,3418,101750
200,8477,16081,7600,1137,0,33296
201,19711,36506,15711,2739,0,74667
202,12407,53048,8742,3432,0,77630
203,11173,35017,10458,409,0,57057
204,51112,56446,7520,0,0,115079
205,30157,67143,9414,678,0,107393
206,13892,25047,6976,0,0,45915
207,22196,42037,14793,0,0,79026
208,9824,16452,13304,2939,0,42519
209,7060,20958,7793,6073,308,42192
210,754,10593,10671,7106,3046,32170
211,11175,25555,22327,1547,1557,62162
212,12029,19515,8421,2057,0,42022
213,6115,18544,17809,2090,0,44558
214,8704,9078,7633,616,0,26032
215,7403,19253,9730,2809,0,39195
216,4441,21758,10791,1161,2138,40288
217,5945,11648,14536,526,426,33081
218,6096,45313,16925,0,0,68334
219,18597,18765,17113,0,0,54475
220,9639,12218,10255,962,1436,34510
221,6798,18596,12266,5262,1495,44416
222,6841,19499,11521,5185,1466,44512
223,6024,15436,5033,0,0,26492
224,0,0,0,0,0,0
225,8249,20269,2352,947,0,31818
226,13620,66965,21693,0,0,102278
227,10207,35081,18681,0,0,63969
228,15155,18689,10476,0,0,44320
229,51403,74159,27304,0,0,152866
230,15328,43742,17500,552,0,77122
231,6276,21029,7302,691,0,35298
232,4740,25408,11995,70,0,42214
233,19716,28424,12864,6256,0,67261
234,22046,46166,465,2149,0,70826
