18_ZOrigem,18_TrabInd,18_TrabCom,18_TrabSer,18_Educ,18_Compras,18_Saude,18_Lazer,18_ProcEmp,18_AssPess,18_Refeic,18_Total
163,2180,10535,27853,28726,3238,6644,6508,0,9963,923,96569
164,1940,4371,7850,5144,1391,443,3031,175,1246,328,25920
165,1420,9319,10367,6136,2623,265,2752,352,1746,2196,37176
166,4436,12255,43262,34244,2816,9758,4492,1449,4807,2617,120136
167,5376,18252,38270,21762,5044,8744,7995,465,7028,4026,116962
168,2725,5293,29620,18361,3093,3496,3043,2584,4046,1871,74134
169,4584,4597,21677,43264,2599,2720,1033,0,3621,1926,86022
170,5851,5363,25811,26855,5916,10044,3547,840,12842,630,97701
171,3189,7874,19873,26272,8153,5497,4520,0,5796,109,81281
172,2281,6820,9164,17596,6506,2402,3273,0,4030,495,52567
173,4798,3731,13984,17382,2104,652,712,272,1643,281,45559
174,4222,4695,21141,44827,2448,963,5135,0,2807,0,86239
175,8598,3553,9249,19050,5074,3244,6049,230,5248,241,60535
176,2164,4344,14288,24599,2051,7207,1098,0,2633,0,58384
177,2284,2097,2536,3830,831,658,468,48,1595,0,14347
178,308,0,1433,2007,0,0,0,0,141,0,3889
179,0,0,0,0,0,0,0,0,0,0,0
180,8517,9418,29061,53181,5061,5116,5909,0,4012,95,120369
181,1581,5853,20460,34430,2498,7924,2465,80,4511,105,79906
182,4061,8456,15734,21980,3998,1305,173,230,7063,921,63922
183,4177,2856,14759,30750,2025,1133,5000,0,7414,0,68115
184,5448,4386,7871,15090,2414,967,3453,0,2478,848,42955
185,1153,3196,8004,14392,917,759,0,319,1062,0,29802
186,717,1060,4694,6692,806,35,2345,230,1134,0,17714
187,6838,6936,12382,27839,2495,2886,779,141,2649,0,62944
188,2274,2777,11352,45212,1591,1676,7198,0,4578,291,76950
189,4111,2854,19112,35310,4278,4834,2812,1117,15363,715,90505
190,6157,5900,22262,26960,3177,5045,4382,1375,8834,538,84631
191,1440,2996,7070,2309,2013,280,3817,1283,7198,56,28462
192,1243,4496,12224,24326,3060,1443,3318,0,1608,0,51718
193,1166,2213,10791,13513,3722,2750,858,0,2164,80,37255
194,856,5184,5384,18300,1623,451,0,546,968,630,33942
195,1745,3337,14956,20886,598,1383,634,317,4389,74,48318
196,3189,4793,15849,18666,205,2372,1906,639,3337,0,50956
197,1867,4192,14150,22599,2338,718,1002,0,2871,507,50242
198,2228,11291,34848,24732,8955,6669,1431,318,9626,1423,101522
199,29665,11337,38233,64724,4591,5128,6019,1531,3991,225,165444
200,3613,4088,10276,20186,2373,2404,2669,435,6679,0,52723
201,9709,11037,24876,61201,7773,3618,13027,424,7458,633,139756
202,3896,8308,33768,34894,953,3644,4718,1305,3705,0,95190
203,4402,4756,18628,31809,1955,2417,1464,0,4806,0,70238
204,11998,12155,38031,69643,10936,7153,10104,1641,6679,487,168827
