Zona,RF1_05,RF2_05,RF3_05,RF4_05,RF5_05,Total
464,29.87,42.7,25.1,2.35,0,72698
465,24.21,48.35,25.89,1.56,0,116026
466,29.72,56.24,14.06,0,0,55726
467,25.1,57.35,13.77,2.67,1.14,19597
468,24.1,58.29,17.62,0,0,152618
469,37.87,48.41,11.99,1.75,0,5258
470,30.92,45.04,24.05,0,0,7934
471,34.41,48.09,13.6,1.42,2.5,15205
472,14.9,73.28,11.84,0,0,39958
473,23.52,54.95,14.5,7.04,0,20953
474,41.8,53.29,4.93,0,0,5951
475,34.23,46.66,17.68,1.45,0,29995
476,26.02,45.85,20.82,4.88,2.45,82967
477,17.8,32.03,24.87,8.69,16.63,46305
478,NA,NA,NA,NA,NA,0
479,NA,NA,NA,NA,NA,0
480,13.02,66.11,20.27,0,0.63,42050
481,14.35,69.8,15.86,0,0,64790
482,20.94,56.54,21.16,0,1.38,19794
483,1.39,30.19,37.46,4.37,26.61,3319
484,25.49,62.13,11.45,0.95,0,131693
485,20.15,54.92,21.3,3.65,0,110673
486,21.42,66.89,11.7,0,0,69644
487,10.59,54.24,28.67,1.29,5.24,33783
488,28.88,51.13,8.86,4.14,7.01,43648
489,15.94,24.97,45.71,3.04,10.38,4455
490,8.14,33.17,41.78,10.15,6.79,11522
491,14.9,29.57,34.5,8.33,12.73,36900
492,12.54,41.03,38.96,6.88,0.61,60262
493,26.72,46.46,26.83,0,0,31031
494,18.8,47.61,20.44,7.81,5.36,63563
495,21.71,46.12,25.41,6.79,0,121969
496,15.31,37.28,39.49,4.53,3.41,72059
497,18.28,37.1,37.17,5.15,2.32,12790
498,3.71,53.62,35.27,1.61,5.82,11600
499,27.22,43.16,26.57,1.78,1.29,129340
500,26.48,56.4,17.13,0,0,49817
501,25.52,50.92,18.27,2.75,2.56,51302
502,19.8,68.98,8.95,2.3,0,20742
503,28.23,41.88,24.79,5.12,0,5903
504,14.08,64.07,21.87,0,0,106308
505,11.49,12.79,26.5,15.74,33.51,7933
506,2.86,21.55,52.3,15.3,8.02,33261
507,8.67,37,31.18,7.63,15.55,23325
508,37.59,42.55,14.19,4.08,1.61,138853
509,53.1,46.91,0,0,0,5505
510,NA,NA,NA,NA,NA,0
511,26.88,64.33,8.8,0,0,36116
512,21.54,54.58,22.82,0,1.08,50557
513,16.62,38.9,8.34,4.1,32.09,3587
514,31.9,55.65,10.8,1.16,0.52,104626
515,29.42,57.71,10.95,1.94,0,120821
516,8.77,33.23,33.22,11.06,13.75,131608
517,36.68,50.88,10.98,1.47,0,18107
